Value Index,EBIN,UBINS,CBINS,MBINS,LBINS,RBINS,ZBINS,YBINS,XBINS,Mean Value,Stat. Error,Mean_E_Norm,Energy (eV),Energy (MeV)
65.0,65.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.3009,0.00496,0.11763510734556223,1.175,1.175e-06
66.0,66.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.2412,0.00432,0.11714403224479723,1.2,1.2e-06
67.0,67.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.3251,0.00439,0.11783416961421404,1.225,1.2250000000000001e-06
68.0,68.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.1695,0.00451,0.1165542485810644,1.25,1.2499999999999999e-06
69.0,69.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.0196,0.00355,0.11532121411532452,1.3,1.3e-06
70.0,70.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.8398,0.0031,0.11384223081352308,1.35,1.35e-06
71.0,71.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.7396,0.00359,0.11301801431274164,1.4,1.4e-06
72.0,72.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.8311,0.00356,0.1137706671053714,1.45,1.4499999999999999e-06
73.0,73.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.7152,0.00343,0.11281730690137369,1.5,1.5e-06
74.0,74.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.6193,0.0031,0.11202846096898908,1.59,1.59e-06
75.0,75.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.5304,0.00318,0.111297195031669,1.68,1.6799999999999998e-06
76.0,76.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.4414,0.00282,0.11056510652299087,1.77,1.77e-06
77.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.321,0.00294,0.10957473060788024,1.86,1.86e-06
78.0,78.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.4187,0.00342,0.11037838282471005,1.94,1.94e-06
79.0,79.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.5055,0.00348,0.11109237476351073,2.0,2e-06
80.0,80.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.4921,0.00289,0.11098215020152999,2.12,2.12e-06
81.0,81.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.3952,0.00368,0.11018507855556471,2.21,2.21e-06
82.0,82.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.2854,0.00364,0.10928189520440898,2.3,2.2999999999999996e-06
83.0,83.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.287,0.00368,0.10929505634613804,2.38,2.3799999999999997e-06
