Upper Energy (eV),Group No,Upper Energy (MeV),,LethargyW,Total_Flux,Flux,Upper Energy (MeV),,,,,,,,,,Upper Energy (MeV),Flux
30,129,3.00E-05,13.41004545,0.087011377,0.000634331,7.29E-03,3.00E-05,,,,,,,,,,3.50E-05,9.53E-03
27.5,130,2.75E-05,13.49705683,0.09531018,0.000670229,7.03E-03,2.75E-05,,,,,,,,,,3.55E-05,6.32E-03
25,131,2.50E-05,13.59236701,0.105360516,0.00083925,7.97E-03,2.50E-05,,,,,,,,,,3.60E-05,5.16E-03
22.5,132,2.25E-05,13.69772752,0.033901552,0.000733909,2.16E-02,2.25E-05,,,,,,,,,,3.70E-05,6.22E-03
21.75,133,2.18E-05,13.73162907,0.025612576,0.00014151,5.53E-03,2.18E-05,,,,,,,,,,3.71E-05,3.61E-03
21.2,134,2.12E-05,13.75724165,0.033576296,0.000310195,9.24E-03,2.12E-05,,,,,,,,,,3.73E-05,3.95E-03
20.5,135,2.05E-05,13.79081795,0.024692613,0.000162127,6.57E-03,2.05E-05,,,,,,,,,,3.76E-05,5.45E-03
20,136,2.00E-05,13.81551056,0.030459207,0.000155702,5.11E-03,2.00E-05,,,,,,,,,,3.80E-05,3.87E-03
19.4,137,1.94E-05,13.84596977,0.047502334,0.000789402,1.66E-02,1.94E-05,,,,,,,,,,3.91E-05,1.82E-03
18.5,138,1.85E-05,13.8934721,0.084557388,0.000378426,4.48E-03,1.85E-05,,,,,,,,,,3.96E-05,4.68E-03
17,139,1.70E-05,13.97802949,0.060624622,0.000831156,1.37E-02,1.70E-05,,,,,,,,,,4.10E-05,4.91E-03
16,140,1.60E-05,14.03865411,0.105360516,0.000821652,7.80E-03,1.60E-05,,,,,,,,,,4.24E-05,2.49E-03
14.4,141,1.44E-05,14.14401462,0.110000895,0.00098145,8.92E-03,1.44E-05,,,,,,,,,,4.40E-05,3.45E-03
12.9,142,1.29E-05,14.25401552,0.080688911,0.00124685,1.55E-02,1.29E-05,,,,,,,,,,4.52E-05,1.55E-03
11.9,143,1.19E-05,14.33470443,0.034191365,0.000201538,5.89E-03,1.19E-05,,,,,,,,,,4.83E-05,2.29E-03
11.5,144,1.15E-05,14.3688958,0.139761942,0.00280659,2.01E-02,1.15E-05,,,,,,,,,,5.06E-05,4.64E-03
10,145,1.00E-05,14.50865774,0.094310679,0.000689134,7.31E-03,1.00E-05,,,,,,,,,,5.34E-05,2.11E-03
9.1,146,9.10E-06,14.60296842,0.116410352,0.000395362,3.40E-03,9.10E-06,,,,,,,,,,5.80E-05,7.94E-03
8.1,147,8.10E-06,14.71937877,0.124751705,0.000476369,3.82E-03,8.10E-06,,,,,,,,,,6.10E-05,3.30E-03
7.15,148,7.15E-06,14.84413047,0.021202208,0.000256303,1.21E-02,7.15E-06,,,,,,,,,,6.30E-05,5.18E-03
7,149,7.00E-06,14.86533268,0.018018506,0.00066207,3.67E-02,7.00E-06,,,,,,,,,,6.50E-05,4.40E-03
6.875,150,6.88E-06,14.88335119,0.018349139,0.00103882,5.66E-02,6.88E-06,,,,,,,,,,6.75E-05,2.58E-03
6.75,151,6.75E-06,14.90170033,0.037740328,0.00106661,2.83E-02,6.75E-06,,,,,,,,,,7.20E-05,2.71E-03
6.5,152,6.50E-06,14.93944065,0.039220713,0.000483292,1.23E-02,6.50E-06,,,,,,,,,,7.60E-05,7.30E-03
6.25,153,6.25E-06,14.97866137,0.040821995,0.000439258,1.08E-02,6.25E-06,,,,,,,,,,8.00E-05,3.97E-03
6,154,6.00E-06,15.01948336,0.105360516,0.000922856,8.76E-03,6.00E-06,,,,,,,,,,8.17E-05,3.21E-03
5.4,155,5.40E-06,15.12484388,0.076961041,0.000611129,7.94E-03,5.40E-06,,,,,,,,,,9.00E-05,2.80E-03
5,156,5.00E-06,15.20180492,0.061875404,0.000740527,1.20E-02,5.00E-06,,,,,,,,,,9.70E-05,4.65E-03
4.7,157,4.70E-06,15.26368032,0.136575535,0.00125968,9.22E-03,4.70E-06,,,,,,,,,,0.0001012,5.90E-03
4.1,158,4.10E-06,15.40025586,0.09457874,0.000748521,7.91E-03,4.10E-06,,,,,,,,,,0.000105,1.48E-03
3.73,159,3.73E-06,15.4948346,0.063645265,0.00111326,1.75E-02,3.73E-06,,,,,,,,,,0.000108,6.42E-03
3.5,160,3.50E-06,15.55847986,0.089612159,0.000937301,1.05E-02,3.50E-06,,,,,,,,,,0.000113,5.52E-03
3.2,161,3.20E-06,15.64809202,0.031748698,0.000238428,7.51E-03,3.20E-06,,,,,,,,,,0.000116,4.57E-03
3.1,162,3.10E-06,15.67984072,0.032789823,0.000227361,6.93E-03,3.10E-06,,,,,,,,,,0.0001175,1.57E-03
3,163,3.00E-06,15.71263054,0.010050336,6.69E-05,6.66E-03,3.00E-06,,,,,,,,,,0.000119,8.11E-03
2.97,164,2.97E-06,15.72268088,0.034249923,0.000200275,5.85E-03,2.97E-06,,,,,,,,,,0.000122,2.58E-03
2.87,165,2.87E-06,15.7569308,0.03546471,0.000190336,5.37E-03,2.87E-06,,,,,,,,,,0.000143,2.68E-03
2.77,166,2.77E-06,15.79239551,0.036768848,0.000191628,5.21E-03,2.77E-06,,,,,,,,,,0.00017,2.72E-03
2.67,167,2.67E-06,15.82916436,0.038172574,0.000203344,5.33E-03,2.67E-06,,,,,,,,,,0.00018,1.68E-03
2.57,168,2.57E-06,15.86733693,0.039687748,0.000250137,6.30E-03,2.57E-06,,,,,,,,,,0.0001877,1.15E-03
2.47,169,2.47E-06,15.90702468,0.037117663,0.000491026,1.32E-02,2.47E-06,,,,,,,,,,0.0001885,3.51E-03
2.38,170,2.38E-06,15.94414234,0.034191365,0.00138795,4.06E-02,2.38E-06,,,,,,,,,,0.0001915,5.11E-03
2.3,171,2.30E-06,15.97833371,0.039916607,0.00203601,5.10E-02,2.30E-06,,,,,,,,,,0.000193,2.84E-03
2.21,172,2.21E-06,16.01825032,0.041576427,0.00135295,3.25E-02,2.21E-06,,,,,,,,,,0.000202,2.56E-03
2.12,173,2.12E-06,16.05982674,0.058268908,0.00178889,3.07E-02,2.12E-06,,,,,,,,,,0.0002074,3.09E-03
2,174,2.00E-06,16.11809565,0.030459207,0.00122782,4.03E-02,2.00E-06,,,,,,,,,,0.0002095,5.32E-03
1.94,175,1.94E-06,16.14855486,0.042111485,0.00236111,5.61E-02,1.94E-06,,,,,,,,,,0.00022,3.62E-03
