Group No,Upper Energy (eV),Critical Flux,Inf. Med. Flux.,Critical Adj. Flux,Inf. Med. Adj. Flux,E_norm,E_Reverse,C_Reverse,Energy (MeV)
124,35.0,0.002843,0.002843,0.003713,0.003713,0.1136290967226219,0.11350919264588327,0.0028399999999999996,2.9999999999999997e-05
125,33.75,0.002844,0.002844,0.009035,0.009035,0.11366906474820145,0.11358912869704238,0.0028420000000000003,3.125e-05
126,33.25,0.002843,0.002843,0.002918,0.002918,0.1136290967226219,0.11358912869704238,0.0028420000000000003,3.175e-05
127,31.75,0.0028420000000000003,0.0028420000000000003,0.008479,0.008479,0.11358912869704238,0.1136290967226219,0.002843,3.325e-05
128,31.25,0.0028420000000000003,0.0028420000000000003,0.003293,0.003293,0.11358912869704238,0.11366906474820145,0.002844,3.375e-05
129,30.0,0.0028399999999999996,0.0028399999999999996,0.001549,0.001549,0.11350919264588327,0.1136290967226219,0.002843,3.5e-05
130,27.5,0.002836,0.002836,0.001423,0.001423,0.11334932054356514,0.11374900079936051,0.002846,3.5499999999999996e-05
131,25.0,0.002702,0.002702,0.0012619999999999999,0.0012619999999999999,0.10799360511590728,0.11374900079936051,0.002846,3.6e-05
132,22.5,0.0025859999999999998,0.0025859999999999998,0.003904,0.003904,0.10335731414868105,0.11374900079936051,0.002846,3.7e-05
133,21.75,0.0025960000000000002,0.0025960000000000002,0.005213000000000001,0.005213000000000001,0.10375699440447643,0.11382893685051958,0.002848,3.713e-05
134,21.2,0.002724,0.002724,0.004162,0.004162,0.10887290167865707,0.11382893685051958,0.002848,3.727e-05
135,20.5,0.002723,0.002723,0.005665,0.005665,0.10883293365307754,0.11378896882494004,0.0028469999999999997,3.7630000000000004e-05
136,20.0,0.0027199999999999998,0.0027199999999999998,0.004592000000000001,0.004592000000000001,0.10871302957633892,0.11382893685051958,0.002848,3.7999999999999995e-05
137,19.4,0.002704,0.002704,0.002948,0.002948,0.10807354116706634,0.11390887290167866,0.00285,3.91e-05
138,18.5,0.002705,0.002705,0.0016539999999999999,0.0016539999999999999,0.10811350919264588,0.11382893685051958,0.002848,3.96e-05
139,17.0,0.0026969999999999997,0.0026969999999999997,0.002309,0.002309,0.10779376498800958,0.11382893685051958,0.002848,4.1e-05
140,16.0,0.0027,0.0027,0.001327,0.001327,0.10791366906474821,0.11390887290167866,0.00285,4.2399999999999994e-05
141,14.4,0.002698,0.002698,0.0012699999999999999,0.0012699999999999999,0.10783373301358912,0.11378896882494004,0.0028469999999999997,4.4e-05
142,12.9,0.002689,0.002689,0.001732,0.001732,0.1074740207833733,0.11386890487609912,0.002849,4.52e-05
143,11.9,0.002695,0.002695,0.004081,0.004081,0.10771382893685051,0.1139488409272582,0.0028510000000000002,4.8299999999999995e-05
144,11.5,0.00268,0.00268,0.000999,0.000999,0.10711430855315747,0.11382893685051958,0.002848,5.06e-05
145,10.0,0.002681,0.002681,0.001478,0.001478,0.107154276578737,0.11398880895283772,0.002852,5.34e-05
146,9.1,0.002681,0.002681,0.001196,0.001196,0.107154276578737,0.11406874500399679,0.0028539999999999998,5.8e-05
